PRODUCT_NAME,DESCRIPTION,URL,PAGE_NO,tokenized_product_name,tokenized_description,TOKENIZED_PRODUCT_NAME,TOKENIZED_DESCRIPTION
TruffleHog OSS,Scan Github Actions with TruffleHog,https://github.com/marketplace/actions/trufflehog-oss,1,"['trufflehog', 'oss']","['scan', 'github', 'actions', 'trufflehog']","['trufflehog', 'oss']","['scan', 'github', 'actions', 'trufflehog']"
Metrics embed,An infographics generator with 40+ plugins and 300+ options to display stats about your GitHub account,https://github.com/marketplace/actions/metrics-embed,1,"['metrics', 'embed']","['infographics', 'generator', '40', 'plugins', '300', 'options', 'display', 'stats', 'github', 'account']","['metrics', 'embed']","['infographics', 'generator', '40', 'plugins', '300', 'options', 'display', 'stats', 'github', 'account']"
yq - portable yaml processor,"create, read, update, delete, merge, validate and do more with yaml",https://github.com/marketplace/actions/yq-portable-yaml-processor,1,"['yq', 'portable', 'yaml', 'processor']","['create', 'read', 'update', 'delete', 'merge', 'validate', 'yaml']","['yq', 'portable', 'yaml', 'processor']","['create', 'read', 'update', 'delete', 'merge', 'validate', 'yaml']"
Super-Linter,"Super-linter is a ready-to-run collection of linters and code analyzers, to help validate your source code",https://github.com/marketplace/actions/super-linter,1,['super-linter'],"['super-linter', 'ready-to-run', 'collection', 'linters', 'code', 'analyzers', 'help', 'validate', 'source', 'code']",['super-linter'],"['super-linter', 'ready-to-run', 'collection', 'linters', 'code', 'analyzers', 'help', 'validate', 'source', 'code']"
Gosec Security Checker,Runs the gosec security checker,https://github.com/marketplace/actions/gosec-security-checker,1,"['gosec', 'security', 'checker']","['runs', 'gosec', 'security', 'checker']","['gosec', 'security', 'checker']","['runs', 'gosec', 'security', 'checker']"
Rebuild Armbian and Kernel,"Support Amlogic, Rockchip and Allwinner boxes",https://github.com/marketplace/actions/rebuild-armbian-and-kernel,1,"['rebuild', 'armbian', 'kernel']","['support', 'amlogic', 'rockchip', 'allwinner', 'boxes']","['rebuild', 'armbian', 'kernel']","['support', 'amlogic', 'rockchip', 'allwinner', 'boxes']"
OpenCommit — improve commits with AI 🧙,Replaces lame commit messages with meaningful AI-generated messages when you push to remote,https://github.com/marketplace/actions/opencommit-improve-commits-with-ai,1,"['opencommit', '—', 'improve', 'commits', 'ai', '🧙']","['replaces', 'lame', 'commit', 'messages', 'meaningful', 'ai-generated', 'messages', 'push', 'remote']","['opencommit', '—', 'improve', 'commits', 'ai', '🧙']","['replaces', 'lame', 'commit', 'messages', 'meaningful', 'ai-generated', 'messages', 'push', 'remote']"
Checkout,Checkout a Git repository at a particular version,https://github.com/marketplace/actions/checkout,1,['checkout'],"['checkout', 'git', 'repository', 'particular', 'version']",['checkout'],"['checkout', 'git', 'repository', 'particular', 'version']"
SSH Remote Commands,Executing remote ssh commands,https://github.com/marketplace/actions/ssh-remote-commands,1,"['ssh', 'remote', 'commands']","['executing', 'remote', 'ssh', 'commands']","['ssh', 'remote', 'commands']","['executing', 'remote', 'ssh', 'commands']"
GitHub Pages action,GitHub Actions for GitHub Pages 🚀 Deploy static files and publish your site easily. Static-Site-Generators-friendly,https://github.com/marketplace/actions/github-pages-action,1,"['github', 'pages', 'action']","['github', 'actions', 'github', 'pages', '🚀', 'deploy', 'static', 'files', 'publish', 'site', 'easily', 'static-site-generators-friendly']","['github', 'pages', 'action']","['github', 'actions', 'github', 'pages', '🚀', 'deploy', 'static', 'files', 'publish', 'site', 'easily', 'static-site-generators-friendly']"
Cache,Cache artifacts like dependencies and build outputs to improve workflow execution time,https://github.com/marketplace/actions/cache,1,['cache'],"['cache', 'artifacts', 'like', 'dependencies', 'build', 'outputs', 'improve', 'workflow', 'execution', 'time']",['cache'],"['cache', 'artifacts', 'like', 'dependencies', 'build', 'outputs', 'improve', 'workflow', 'execution', 'time']"
generate-snake-game-from-github-contribution-grid,Generates a snake game from a github user contributions grid. Output the animation as gif or svg,https://github.com/marketplace/actions/generate-snake-game-from-github-contribution-grid,1,['generate-snake-game-from-github-contribution-grid'],"['generates', 'snake', 'game', 'github', 'user', 'contributions', 'grid', 'output', 'animation', 'gif', 'svg']",['generate-snake-game-from-github-contribution-grid'],"['generates', 'snake', 'game', 'github', 'user', 'contributions', 'grid', 'output', 'animation', 'gif', 'svg']"
Build and push Docker images,Build and push Docker images with Buildx,https://github.com/marketplace/actions/build-and-push-docker-images,1,"['build', 'push', 'docker', 'images']","['build', 'push', 'docker', 'images', 'buildx']","['build', 'push', 'docker', 'images']","['build', 'push', 'docker', 'images', 'buildx']"
GH Release,Github Action for creating Github Releases,https://github.com/marketplace/actions/gh-release,1,"['gh', 'release']","['github', 'action', 'creating', 'github', 'releases']","['gh', 'release']","['github', 'action', 'creating', 'github', 'releases']"
run-digger,Manage terraform collaboration,https://github.com/marketplace/actions/run-digger,1,['run-digger'],"['manage', 'terraform', 'collaboration']",['run-digger'],"['manage', 'terraform', 'collaboration']"
Rebuild Armbian,Build Armbian Linux,https://github.com/marketplace/actions/rebuild-armbian,1,"['rebuild', 'armbian']","['build', 'armbian', 'linux']","['rebuild', 'armbian']","['build', 'armbian', 'linux']"
GitHub Script,Run simple scripts using the GitHub client,https://github.com/marketplace/actions/github-script,1,"['github', 'script']","['run', 'simple', 'scripts', 'using', 'github', 'client']","['github', 'script']","['run', 'simple', 'scripts', 'using', 'github', 'client']"
Deploy to GitHub Pages,This action will handle the deployment process of your project to GitHub Pages,https://github.com/marketplace/actions/deploy-to-github-pages,1,"['deploy', 'github', 'pages']","['action', 'handle', 'deployment', 'process', 'project', 'github', 'pages']","['deploy', 'github', 'pages']","['action', 'handle', 'deployment', 'process', 'project', 'github', 'pages']"
ChatGPT CodeReviewer,A Code Review Action Powered By ChatGPT,https://github.com/marketplace/actions/chatgpt-codereviewer,1,"['chatgpt', 'codereviewer']","['code', 'review', 'action', 'powered', 'chatgpt']","['chatgpt', 'codereviewer']","['code', 'review', 'action', 'powered', 'chatgpt']"
FTP Deploy,Automate deploying websites and more with this GitHub action via FTP and FTPS,https://github.com/marketplace/actions/ftp-deploy,1,"['ftp', 'deploy']","['automate', 'deploying', 'websites', 'github', 'action', 'via', 'ftp', 'ftps']","['ftp', 'deploy']","['automate', 'deploying', 'websites', 'github', 'action', 'via', 'ftp', 'ftps']"
Setup Node.js environment,Setup a Node.js environment by adding problem matchers and optionally downloading and adding it to the PATH,https://github.com/marketplace/actions/setup-node-js-environment,2,"['setup', 'node.js', 'environment']","['setup', 'node.js', 'environment', 'adding', 'problem', 'matchers', 'optionally', 'downloading', 'adding', 'path']","['setup', 'node.js', 'environment']","['setup', 'node.js', 'environment', 'adding', 'problem', 'matchers', 'optionally', 'downloading', 'adding', 'path']"
run-ansible-lint,Run Ansible Lint,https://github.com/marketplace/actions/run-ansible-lint,2,['run-ansible-lint'],"['run', 'ansible', 'lint']",['run-ansible-lint'],"['run', 'ansible', 'lint']"
fastpages: An easy to use blogging platform with support for Jupyter Notebooks.,Converts Jupyter notebooks and Word docs into Jekyll blog posts,https://github.com/marketplace/actions/fastpages-an-easy-to-use-blogging-platform-with-support-for-jupyter-notebooks,2,"['fastpages', 'easy', 'use', 'blogging', 'platform', 'support', 'jupyter', 'notebooks']","['converts', 'jupyter', 'notebooks', 'word', 'docs', 'jekyll', 'blog', 'posts']","['fastpages', 'easy', 'use', 'blogging', 'platform', 'support', 'jupyter', 'notebooks']","['converts', 'jupyter', 'notebooks', 'word', 'docs', 'jekyll', 'blog', 'posts']"
Release Drafter,Drafts your next release notes as pull requests are merged into master,https://github.com/marketplace/actions/release-drafter,2,"['release', 'drafter']","['drafts', 'next', 'release', 'notes', 'pull', 'requests', 'merged', 'master']","['release', 'drafter']","['drafts', 'next', 'release', 'notes', 'pull', 'requests', 'merged', 'master']"
Profile Readme Development Stats,Are you an early 🐤 or a night 🦉? When are you most productive during the day? Let s check out in your readme,https://github.com/marketplace/actions/profile-readme-development-stats,2,"['profile', 'readme', 'development', 'stats']","['early', '🐤', 'night', '🦉', 'productive', 'day', 'let', 'check', 'readme']","['profile', 'readme', 'development', 'stats']","['early', '🐤', 'night', '🦉', 'productive', 'day', 'let', 'check', 'readme']"
Upload a Build Artifact,Upload a build artifact that can be used by subsequent workflow steps,https://github.com/marketplace/actions/upload-a-build-artifact,2,"['upload', 'build', 'artifact']","['upload', 'build', 'artifact', 'used', 'subsequent', 'workflow', 'steps']","['upload', 'build', 'artifact']","['upload', 'build', 'artifact', 'used', 'subsequent', 'workflow', 'steps']"
