PRODUCT_NAME,DESCRIPTION,URL,PAGE_NO
TruffleHog OSS,Scan Github Actions with TruffleHog,https://github.com/marketplace/actions/trufflehog-oss,1
Metrics embed,An infographics generator with 40+ plugins and 300+ options to display stats about your GitHub account,https://github.com/marketplace/actions/metrics-embed,1
yq - portable yaml processor,"create, read, update, delete, merge, validate and do more with yaml",https://github.com/marketplace/actions/yq-portable-yaml-processor,1
Super-Linter,"Super-linter is a ready-to-run collection of linters and code analyzers, to help validate your source code",https://github.com/marketplace/actions/super-linter,1
Gosec Security Checker,Runs the gosec security checker,https://github.com/marketplace/actions/gosec-security-checker,1
Rebuild Armbian and Kernel,"Support Amlogic, Rockchip and Allwinner boxes",https://github.com/marketplace/actions/rebuild-armbian-and-kernel,1
OpenCommit — improve commits with AI 🧙,Replaces lame commit messages with meaningful AI-generated messages when you push to remote,https://github.com/marketplace/actions/opencommit-improve-commits-with-ai,1
Checkout,Checkout a Git repository at a particular version,https://github.com/marketplace/actions/checkout,1
SSH Remote Commands,Executing remote ssh commands,https://github.com/marketplace/actions/ssh-remote-commands,1
GitHub Pages action,GitHub Actions for GitHub Pages 🚀 Deploy static files and publish your site easily. Static-Site-Generators-friendly,https://github.com/marketplace/actions/github-pages-action,1
Cache,Cache artifacts like dependencies and build outputs to improve workflow execution time,https://github.com/marketplace/actions/cache,1
generate-snake-game-from-github-contribution-grid,Generates a snake game from a github user contributions grid. Output the animation as gif or svg,https://github.com/marketplace/actions/generate-snake-game-from-github-contribution-grid,1
Build and push Docker images,Build and push Docker images with Buildx,https://github.com/marketplace/actions/build-and-push-docker-images,1
GH Release,Github Action for creating Github Releases,https://github.com/marketplace/actions/gh-release,1
run-digger,Manage terraform collaboration,https://github.com/marketplace/actions/run-digger,1
Rebuild Armbian,Build Armbian Linux,https://github.com/marketplace/actions/rebuild-armbian,1
GitHub Script,Run simple scripts using the GitHub client,https://github.com/marketplace/actions/github-script,1
Deploy to GitHub Pages,This action will handle the deployment process of your project to GitHub Pages,https://github.com/marketplace/actions/deploy-to-github-pages,1
ChatGPT CodeReviewer,A Code Review Action Powered By ChatGPT,https://github.com/marketplace/actions/chatgpt-codereviewer,1
FTP Deploy,Automate deploying websites and more with this GitHub action via FTP and FTPS,https://github.com/marketplace/actions/ftp-deploy,1
Setup Node.js environment,Setup a Node.js environment by adding problem matchers and optionally downloading and adding it to the PATH,https://github.com/marketplace/actions/setup-node-js-environment,2
run-ansible-lint,Run Ansible Lint,https://github.com/marketplace/actions/run-ansible-lint,2
fastpages: An easy to use blogging platform with support for Jupyter Notebooks.,Converts Jupyter notebooks and Word docs into Jekyll blog posts,https://github.com/marketplace/actions/fastpages-an-easy-to-use-blogging-platform-with-support-for-jupyter-notebooks,2
Release Drafter,Drafts your next release notes as pull requests are merged into master,https://github.com/marketplace/actions/release-drafter,2
Profile Readme Development Stats,Are you an early 🐤 or a night 🦉? When are you most productive during the day? Let s check out in your readme,https://github.com/marketplace/actions/profile-readme-development-stats,2
Upload a Build Artifact,Upload a build artifact that can be used by subsequent workflow steps,https://github.com/marketplace/actions/upload-a-build-artifact,2
