Product ID,Name,Category,Quantity,Price,Restock Threshold
101,Apple,Fruits,50,1.2,10
102,Banana,Fruits,30,0.8,5
103,Carrot,Vegetables,40,1,8
104,Tofu,Protein,25,2.5,5
105,Spinach,Vegetables,60,1.5,15
106,Milk,Dairy,100,1.2,20
107,Broccoli,Vegetables,15,2,5
108,Cheese,Dairy,10,3,5
109,Almonds,Snacks,25,5,10
110,Tomato,Vegetables,70,1.1,20
111,Cucumber,Vegetables,35,1.3,10
112,Avocado,Fruits,40,1.5,12
113,Peas,Vegetables,20,1.2,7
114,Yogurt,Dairy,80,1.8,18
115,Chickpeas,Protein,30,2,10
116,Lettuce,Vegetables,50,1,15
117,Pineapple,Fruits,30,2.5,5
118,Olives,Snacks,40,3,12
119,Bell Pepper,Vegetables,55,1.7,15
120,Mushrooms,Vegetables,45,2.2,10
121,Brown Rice,Grains,60,0.9,10
122,Quinoa,Grains,50,2.8,15
123,Peanut Butter,Sauces,20,3.5,5
124,Chia Seeds,Sauces,25,4,8
125,Cashews,Snacks,30,6,10
126,Oats,Grains,100,1.1,20
127,Zucchini,Vegetables,35,1.5,10
128,Cabbage,Vegetables,50,0.8,15
129,Strawberries,Fruits,60,2.5,12
130,Blueberries,Fruits,25,3,7
131,Asparagus,Vegetables,45,2.5,8
132,Potatoes,Vegetables,80,0.7,25
133,Garlic,Vegetables,55,0.9,10
134,Onion,Vegetables,70,1,18
135,Radish,Vegetables,25,1.4,5
136,Spinach,Vegetables,40,1.6,10
137,Cantaloupe,Fruits,45,2.8,12
138,Mango,Fruits,60,1.8,15
139,Sweet Potato,Vegetables,50,1.3,10
140,Ice Cream,Dairy,20,4.5,3
141,Butter,Dairy,25,3.8,5
142,Cheese,Fruits,12,3,5
143,Cucumber,Vegetables,40,1.2,10
144,Tomato,Vegetables,50,1.5,12
145,Carrots,Vegetables,60,1.1,15
146,Peanut Butter,Sauces,18,4.2,7
147,Tofu,Protein,35,2.6,8
148,Cashews,Sauces,30,6.2,10
149,Chickpeas,Protein,40,1.8,12
150,Coconut Milk,Dairy,25,3.3,5
