document_id,question_id,exact_match,partial_f1,bleu,rouge1,rouge2,rougeL,bert_precision,bert_recall,bert_f1,adoc_supported,asum_supported,adoc_clarity,adoc_accuracy,asum_clarity,asum_accuracy,consistency
0,1,0,0.142857143,0.010941091,0.151898734,0,0.151898734,0.80585289,0.804532409,0.805192053,Yes,No,4,5,2,2,Contradict each other-Opposing or unrelated claims
0,2,0,0.113207547,0.0094938,0.113636364,0,0.113636364,0.830203354,0.792390108,0.810856104,Yes,No,4,5,2,2,Contradict each other-Opposing or unrelated claims
0,3,0,0.698412698,0.32143216,0.666666667,0.414634146,0.357142857,0.900967538,0.905084491,0.903021336,No,Yes,2,2,4,5,Identical-Say the same thing
0,4,0,0.493506494,0.160407246,0.436781609,0.211764706,0.32183908,0.868309677,0.869074285,0.868691802,Yes,No,4,5,2,2,Contradict each other-Opposing or unrelated claims
0,5,0,0.405063291,0.031774845,0.367816092,0.094117647,0.206896552,0.860073388,0.886288524,0.872984171,Yes,No,4,5,2,2,Contradict each other-Opposing or unrelated claims
0,6,0,0.088888889,0.00773652,0.043478261,0,0.043478261,0.825729489,0.872623026,0.848528802,Yes,No,4,5,2,2,Contradict each other-Opposing or unrelated claims
0,7,0,0.292682927,0.108766769,0.253164557,0.155844156,0.253164557,0.825287998,0.850744843,0.837823153,No,Yes,2,2,4,5,Identical-Say the same thing
0,8,0,0.333333333,0.126715941,0.368421053,0.162162162,0.368421053,0.82245183,0.861020088,0.84129411,No,Yes,2,2,4,5,Identical-Say the same thing
0,9,0,0.6,0.370461991,0.558139535,0.404761905,0.441860465,0.916042566,0.915707409,0.915874958,No,Yes,2,2,4,5,Identical-Say the same thing
0,10,0,0.181818182,0.009728159,0.131578947,0,0.131578947,0.804108143,0.815317869,0.809674263,Yes,No,4,5,2,2,Contradict each other-Opposing or unrelated claims
0,11,0,0.363636364,0.124865576,0.368421053,0.189189189,0.368421053,0.829373002,0.872808754,0.850536704,No,Yes,2,2,4,5,Identical-Say the same thing
0,12,0,0.25974026,0.024833155,0.235294118,0,0.141176471,0.839482427,0.841605544,0.840542614,Yes,No,4,5,2,2,Contradict each other-Opposing or unrelated claims
0,13,0,0.8,0.295057153,0.307692308,0.285714286,0.307692308,0.862411439,0.901981056,0.881752491,No,Yes,2,2,4,5,Identical-Say the same thing
0,14,0,0.328767123,0.068261158,0.292134831,0.137931034,0.224719101,0.843766093,0.853224874,0.848469138,Yes,No,4,5,2,2,Contradict each other-Opposing or unrelated claims
0,15,0,0.130434783,0.00773652,0.086956522,0,0.086956522,0.828157902,0.87234807,0.849678814,Yes,No,4,5,2,2,Contradict each other-Opposing or unrelated claims
1,1,0,0.117647059,0.020044995,0,0,0,0.874209285,0.887052178,0.880583882,Yes,No,4,5,2,2,Contradict each other-Opposing or unrelated claims
1,2,0,0.378378378,0.068161939,0.357142857,0.048780488,0.19047619,0.882974982,0.883753061,0.883363843,Yes,No,4,5,2,2,Contradict each other-Opposing or unrelated claims
1,3,0,0.275862069,0.036374684,0.2,0.076923077,0.15,0.865331888,0.871466398,0.868388295,Yes,No,4,5,2,2,Contradict each other-Opposing or unrelated claims
1,4,0,0.133333333,0.008030195,0.053333333,0,0.053333333,0.808500528,0.808348179,0.808424294,Yes,No,4,5,2,2,Contradict each other-Opposing or unrelated claims
1,5,0,0.2,0.01765238,0.146341463,0.025,0.097560976,0.833864748,0.842315614,0.838068902,Yes,No,4,5,2,2,Contradict each other-Opposing or unrelated claims
1,6,0,0.363636364,0.150200754,0.273972603,0.14084507,0.273972603,0.830900311,0.861489773,0.845918596,No,Yes,2,2,4,5,Identical-Say the same thing
1,7,0,0.338028169,0.104919137,0.340909091,0.209302326,0.295454545,0.85526371,0.866342664,0.860767543,Yes,No,4,5,2,2,Contradict each other-Opposing or unrelated claims
1,8,0,0.324324324,0.097915795,0.227272727,0.19047619,0.227272727,0.845436335,0.928389907,0.884973466,No,Yes,2,2,4,5,Identical-Say the same thing
1,9,0,0.358208955,0.13939656,0.311111111,0.204545455,0.244444444,0.855071723,0.875169277,0.865003765,Yes,No,4,5,2,2,Contradict each other-Opposing or unrelated claims
1,10,0,0.292682927,0.113936563,0.256410256,0.105263158,0.256410256,0.834004879,0.832470477,0.833236992,No,Yes,2,2,4,5,Identical-Say the same thing
1,11,0,0.3,0.132193447,0.342105263,0.162162162,0.342105263,0.832830787,0.848774433,0.840727031,No,Yes,2,2,4,5,Identical-Say the same thing
